Company,Job Title,Link,Tailored Resume,Tailored Cover Letter,Skills,Status
ICONMA,Full stack .NET Developer with NoSQL Database,https://jobviewtrack.com/en-us/job-484e416368304f2852184c433b150f040e00300d1f1646444d485f66291b4b1800301c000d0c4564111e0c1f455b585f2f2a2a3a073045150d0d01170052762c08074b495c5e48442b0b51114c0c18041c652355180449205e4a5e462c555f5e1642/f8ef8801c066675ed1123a5ceb599772.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_ICONMA_Full_stack_.NET_Developer_with_NoSQL_Database.docx,tailored_documents\Cover_Letter_ICONMA_Full_stack_.NET_Developer_with_NoSQL_Database.docx,,Not Applied
Hudson River Trading,Full Stack Developer,https://jobviewtrack.com/en-us/job-4e12416b5808034e7400410003412a0213451807191658297b5841084f3d531543086a250b11004c1b180c01286d484141655e5e174516/ab26936d75a9ec7507c636a064c95d1e.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_Hudson_River_Trading_Full_Stack_Developer.docx,tailored_documents\Cover_Letter_Hudson_River_Trading_Full_Stack_Developer.docx,,Not Applied
Cognizant,Senior Full Stack developer (Angular/React/ PHP-Mysql),https://jobviewtrack.com/en-us/job-131a417e480a060155546616040d4e341141170349374f5d584142140a1c2532550f04413d1304431f482d165c4e51425d011d6c74114e0a07134e372d70542c0c054f47525d48166d3e6f24002e11323f2b4564111e0c1f455b585f2f34273e073045150d0d01170052755959431b1d/eef438f11d4529acb9adfbd7d0dfa74b.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_Cognizant_Senior_Full_Stack_developer_(Angular_React__PHP-Mysql).docx,tailored_documents\Cover_Letter_Cognizant_Senior_Full_Stack_developer_(Angular_React__PHP-Mysql).docx,,Not Applied
Charles Schwab,Full Stack Software Developer,https://jobviewtrack.com/en-us/job-4f4d416b5808034e7400410003412a0213451807191658296e424b10180f551100270d170b0b0a50111a6b355f47510d7e100e0d4c76730c0e1519061745762c0c054f47525d48166e5f17441155/f71a6712ed54fdea5a9c324d84bb654a.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_Charles_Schwab_Full_Stack_Software_Developer.docx,tailored_documents\Cover_Letter_Charles_Schwab_Full_Stack_Software_Developer.docx,,Not Applied
Cognizant,Senior Full Stack developer (Angular/React/ PHP-Mysql),https://jobviewtrack.com/en-us/job-131a417e480a060155546616040d4e341141170349374f5d584142140a1c2532550f04413d1304431f482d165c4e51425d011d6c74114e0a07134e372d70542c0c054f47525d48166d3e6f24002e11323f2b4564111e0c1f455b585f2f34273e073045150d0d01170052755959431b1d/db4a084e648a116e1f6486699ec86702.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_Cognizant_Senior_Full_Stack_developer_(Angular_React__PHP-Mysql).docx,tailored_documents\Cover_Letter_Cognizant_Senior_Full_Stack_developer_(Angular_React__PHP-Mysql).docx,,Not Applied
Publicis Groupe,Full Stack Developer,https://jobviewtrack.com/en-us/job-4e12416b5808034e7400410003412a0213451807191658297b5841084f3d531543086a250b11004c1b180c01286d484141655e5e174516/56b8cf3400a85bc7166822d9f281b651.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_Publicis_Groupe_Full_Stack_Developer.docx,tailored_documents\Cover_Letter_Publicis_Groupe_Full_Stack_Developer.docx,"Automation, Infrastructure",Not Applied
CMRG,Full Stack Developer,https://jobviewtrack.com/en-us/job-4e12416b5808034e7400410003412a0213451807191658297b5841084f3d531543086a250b11004c1b180c01286d484141655e5e174516/68e960fba51a17fb3469d9e083c02bad.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_CMRG_Full_Stack_Developer.docx,tailored_documents\Cover_Letter_CMRG_Full_Stack_Developer.docx,React,Not Applied
Yeah! Global,Full Stack Developer- Chicago,https://jobviewtrack.com/en-us/job-4e12416b5808034e7400410003412a0213451807191658297b5841084f3d531543086a250b11004c1b180c01286d484141655e5e174516/bec2aa6a2f34af2d77be2dc87db1a26a.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_Yeah!_Global_Full_Stack_Developer-_Chicago.docx,tailored_documents\Cover_Letter_Yeah!_Global_Full_Stack_Developer-_Chicago.docx,,Not Applied
Motion Recruitment,Full stack .NET developer / Hybrid in Chicago,https://jobviewtrack.com/en-us/job-121a416368304f2852184c433b150f040e00300d1f1646444d485f66291b4b1800301c000d0c4564111e0c1f455b585f2f2a2a3a073045150d0d01170052762e1c1f460b6e594c07046c6931744326243a66541044595f/b80b789f5ca36088864664f51ab03fd9.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_Motion_Recruitment_Full_stack_.NET_developer___Hybrid_in_Chicago.docx,tailored_documents\Cover_Letter_Motion_Recruitment_Full_stack_.NET_developer___Hybrid_in_Chicago.docx,,Not Applied
CNA Financial Corporation,Full Stack Developer (Backend),https://jobviewtrack.com/en-us/job-1c49416b5808034e7400410003412a0213451807191658297f4c4e0f0a00435464061e0402081545066a2f0646471d7e59050c05253045150d0d01170052762e1c1f462a0c1d1d5559/2b3cc6acbcf427679bb584fc2a91dd5e.html?affid=50f6b5fcca95ad3283da9025659d0ae2,tailored_documents\Tailored_Resume_CNA_Financial_Corporation_Full_Stack_Developer_(Backend).docx,tailored_documents\Cover_Letter_CNA_Financial_Corporation_Full_Stack_Developer_(Backend).docx,,Not Applied
